ward_name,Searches,Completed Trips,Cancelled Bookings,Booking Cancellation Rate,Average Distance per Trip (km),Base Points
Ragavendra Nagara,21,7,6,0.059140323,11.79786346,71.00700155
Rajagopal Nagar,463,161,78,0.188096774,2.779820589,40.72454273
Rajaji Nagar,689,328,111,0.198245161,7.986600258,40.46868614
Rajamahal Guttahalli,1176,502,167,0.202827419,6.038844986,39.8578513
Rajarajeshwari Nagar,2836,1363,495,0.206022581,5.635803224,37.73112207
Rajendranagara,15,4,1,0.016129032,19.48720054,70.98559413
Rajeshwari Nagar,214,75,54,0.187170968,8.468856769,41.04218885
Rajivanagara,27,5,2,0.032258065,17.94888455,70.97715913
Ramakrishnanagara,35,14,0,0.0,12.99163389,70.95748792
Ramamurthy Nagara,2507,645,317,0.231087097,16.10141477,38.25355808
Ramaswamy Palya,1517,532,219,0.230746774,10.55010477,39.52750584
Ranadheera Kanteerava,410,153,70,0.189970968,11.96117381,40.79919685
Rupenaagrahara,5203,1369,795,0.362556452,10.35783618,35.4828636
S K Garden,253,65,55,0.261251613,4.709616768,41.29092221
Sagayarapuram,847,277,144,0.234398387,14.72659019,40.40591661
Sampangiram Nagar,7978,1728,1264,0.333174194,6.334674886,31.72400513
Sanjaya Nagar,2470,886,467,0.307922581,1.462003362,38.67395876
Sarakki,3294,1329,628,0.271329032,13.26397362,37.42167322
Sathgallai Badavane 1St Stage,19,7,1,0.005375806,4.365102909,70.97835993
Sathyanagara,5,1,0,0.0,18.8687131,70.99613527
Shakambari Nagar,4017,1587,665,0.224798387,19.12464296,36.2825061
Shakthi Ganapathi Nagar,371,197,61,0.135662903,18.38242341,40.69027749
Shankar Matt,517,241,105,0.199703226,8.033015305,40.69548635
Shantala Nagar,25368,4239,2923,0.346780645,1.293675714,9.404694595
Shanthi Nagar,3111,804,417,0.276495161,18.63805269,37.68289319
Shanthinagara 1,12,4,2,0.024193548,9.135498818,70.9923855
Shanthinagara 2,9,2,1,0.016129032,19.36644156,70.9933236
Sharadadevinagara,47,18,7,0.067203226,19.30877956,70.98267545
Shettihalli,1815,640,374,0.266412903,17.20717965,39.30319475
Shivanagara,598,302,90,0.1434,6.594528949,40.41727816
Sir M. Vishweshwaraiah,1124,561,189,0.208901613,8.316856843,39.94734833
Someshwara Nagar,1777,519,319,0.250787097,17.17159676,39.27941305
Someshwara Ward,1024,426,207,0.24281129,7.021518098,40.21402975
Srinagar,809,408,128,0.141291935,4.220362187,40.14005717
Srinivasa Nagar,663,316,101,0.140525806,11.57922399,40.32619773
Sriramamandir,936,431,173,0.251506452,18.78694071,40.36607885
Srirampura,38,7,9,0.071237097,14.22456614,70.9992957
Subashnagara,13,6,2,0.024193548,11.83116223,70.99109726
Subbarayanakere,68,34,7,0.055106452,2.846353382,40.94230633
Subhash Nagar,3082,1124,650,0.336651613,12.68513731,38.0522149
Subramanya Nagar,1966,811,431,0.295179032,19.81102315,39.25406323
Subramanyapura,3552,1356,694,0.276562903,3.661596289,37.11511443
Suddagunte Palya,14872,3266,2404,0.3604,10.84826339,23.01279376
Sudham Nagara,2104,579,361,0.302598387,17.67008837,39.11620156
Sunkadakatte,303,128,53,0.173791935,15.07460374,40.88407106
Sunkenahalli,2287,1094,400,0.182037097,14.24329908,38.35459825
Sunnadakeri,10,5,0,0.0,14.3471976,70.98969404
T Dasarahalli,1117,431,229,0.25476129,7.830331873,40.14773692
Thanisandra,1604,571,351,0.305303226,6.578245041,39.77512242
Thilaknagara,13,3,2,0.024193548,16.37786195,70.99109726
Tilak Nagar,1659,446,288,0.29418871,16.3921545,39.6443014
Tk_Layout,13,5,3,0.048387097,17.47437405,71.00690111
Udayagiri,5,4,0,0.0,18.3515705,70.99613527
Ullal,825,366,130,0.193295161,10.71550558,40.27604173
Ulsoor,5857,1364,749,0.281832258,10.5288096,34.17219169
Umamaheshwara Ward,1634,676,269,0.174003226,16.1676084,39.17007864
Uttarahalli,2018,696,360,0.22145,13.34931468,38.84425947
Vannarapete,905,317,129,0.226301613,14.33737067,40.29762676
Varthuru,4506,588,377,0.245887097,16.12006072,35.74188975
Vasanth Nagar,11103,2775,1585,0.294133871,17.91010149,27.47782745
Vasanthpura,1726,747,290,0.186385484,7.42190798,39.09172196
Veera Sindhura Lakshamana,298,118,48,0.208345161,8.1360761,41.0093489
Veerabhadranagar,761,338,123,0.180117742,2.785656857,40.31420383
Veeramadakari,2251,812,426,0.286922581,11.98732268,38.84365863
Venkateshpura,374,112,67,0.254248387,1.682903202,41.10255313
Vidyamanyanagar,670,265,120,0.207556452,9.846362345,40.52716962
Vidyapeeta ward,985,427,189,0.194746774,11.31024806,40.07499215
Vidyaranyapura,1577,730,274,0.192566129,6.44428379,39.30474992
Vidyaranyapuram,21,7,3,0.040322581,12.22583195,70.99015654
Vijayanagar,464,194,85,0.17678871,1.579504749,40.68611915
Vijayanagara 1St & 2Nd Stage,77,35,4,0.025537097,1.709615586,40.90925093
Vijayanagara Krishnadevaraya,672,334,108,0.161875806,16.62941065,40.37271
Vijinapura,1242,268,183,0.256779032,7.843622187,39.99599573
Vijnana Nagar,3150,669,310,0.216464516,3.41414974,37.36631746
Vikram Nagar,1207,506,236,0.208062903,10.92262194,39.8372766
Vinayakanagar,5884,1992,1111,0.325201613,15.62987751,34.37434909
Vishveshwara Puram,3393,1239,577,0.271479032,5.100599522,37.29486978
Vishwanath Nagenahalli,1342,463,238,0.247508065,12.83491904,39.82509419
Vishweshwaranagara,30,13,3,0.040322581,2.621601835,70.97856234
Vrisabhavathi Nagar,192,90,44,0.168756452,1.981952702,41.01154216
Whitefield,10059,2011,1180,0.313506452,11.095738,28.92869904
Yadavagiri,42,20,2,0.016129032,11.27206731,70.95081152
"Yaraganahalli, Ambedkar Colony",19,6,2,0.024193548,13.11116813,70.98336779
Yediyur,2311,838,393,0.242312903,14.79573534,38.55388272
Yelachenahalli,878,327,203,0.258870968,19.54118951,40.47462519
Yelahanka Satellite Town,1652,663,344,0.289640323,10.80970662,39.62941979
Yeraganahalli,35,14,9,0.060214516,7.136172986,70.99012001
ward_other,27947,6515,3753,0.362885484,16.1085377,6.18517287
